CAVEaT Item,CCM Control Title,CCM Control ID,Justification,Relevance Score
"Exploit Elastic Container Service (ECS) Task Definitions(version 1.0)",Infrastructure & Virtualization Security,IVS-06,"CAVEaT is about exploiting task definitions in containers, which relates to CCM's control on appropriate segmentation and segregation of user access in applications and infrastructures.",9
"Exploit Elastic Container Service (ECS) Task Definitions(version 1.0)",Change Control and Configuration Management,CCC-01,"Malicious task definitions as described in CAVEaT represent a type of change that should be evaluated for risk under CCM's change management policies.",5
"Exploiting FaaS - AWS Lambda/Azure Functions/Logic Apps(version 1.2)",Application & Interface Security,AIS-03,"Both items deal with securing cloud application services - CAVEaT discusses exploiting FaaS like Lambda, while CCM mentions defining application security metrics.",8
"Exploiting FaaS - AWS Lambda/Azure Functions/Logic Apps(version 1.2)",Logging and Monitoring,LOG-03,"Exploiting FaaS as described in CAVEaT should be detected as a security event that triggers alerts based on CCM's control.",6
"Exploiting New Vulnerabilities in Managed Cloud Services(version 1.0)",Threat & Vulnerability Management,TVM-01,"CAVEaT and CCM both focus on identifying and remediating vulnerabilities in cloud services, with CCM providing the overarching policy and procedures to do so.",10
"Exploiting New Vulnerabilities in Managed Cloud Services(version 1.0)",Logging and Monitoring,LOG-03,"Exploits of new vulnerabilities as mentioned in CAVEaT should be detected as security events according to CCM's logging and monitoring control.",5
"Exploit S3 (Simple Storage Service) Permissions(version 1.0)",Audit & Assurance,A&A-02,"CAVEaT discusses exploiting weak S3 permissions, which would be identified through the independent assessments required by CCM.",10
"Exploit S3 (Simple Storage Service) Permissions(version 1.0)",Identity & Access Management,IAM-01,"Exploiting S3 permissions in CAVEaT is an identity and access management issue that CCM's IAM policies aim to prevent.",7
"Exploiting Public-Facing Application(version 1.0)","Governance, Risk and Compliance",GRC-02,"Public-facing applications are part of an organization's attack surface. CCM's risk management program should assess risks of public apps, which may be exploited as noted in CAVEaT.",9
"Exploiting Public-Facing Application(version 1.0)",Threat & Vulnerability Management,TVM-06,"Exploiting public-facing apps as described in CAVEaT can be identified through penetration testing, as required by CCM.",7
"Exploiting Containers(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"CAVEaT discusses exploiting containers, which is directly related to CCM's policies and procedures for infrastructure and virtualization security.",10
"Exploiting Containers(version 1.0)",Threat & Vulnerability Management,TVM-08,"Exploiting containers as mentioned in CAVEaT represents a vulnerability that CCM requires prioritizing for remediation based on risk.",6
"GKE (Google Kubernetes Engine) Kubernetes Attack(version 1.1)",Infrastructure & Virtualization Security,IVS-06,"CAVEaT outlines an attack on GKE, Google's managed Kubernetes service. CCM specifies controls for properly segmenting and restricting access within infrastructures such as Kubernetes clusters.",9
"GKE (Google Kubernetes Engine) Kubernetes Attack(version 1.1)",Logging and Monitoring,LOG-03,"The GKE attack described in CAVEaT should trigger security alerts based on CCM's logging and monitoring control.",5
"Harvesting Credentials via Cloud APIs(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT discusses stealing credentials via cloud APIs, which CCM aims to prevent through its IAM policies and procedures.",9
"Harvesting Credentials via Cloud APIs(version 1.0)",Audit & Assurance,A&A-02,"Harvesting credentials as described in CAVEaT could be identified through CCM's required independent assessments of IAM effectiveness.",4
"IAM Abuse(version 1.0)",Identity & Access Management,IAM-01,"IAM abuse in CAVEaT directly relates to CCM's control for establishing IAM policies and procedures.",10
"IAM Abuse(version 1.0)",Logging and Monitoring,LOG-03,"IAM abuse activities mentioned in CAVEaT should trigger security alerts according to CCM's logging and monitoring control.",6
"Implant Container Image(version 1.0)",Change Control and Configuration Management,CCC-01,"CAVEaT discusses implanting container images, which could be prevented through CCM's change management policies for assessing risks of changes to systems and assets.",7
"Implant Container Image(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Implanting malicious container images as described in CAVEaT is an infrastructure security issue that CCM's policies and procedures aim to prevent.",8
"Insertion of Sensitive Information into Log File (combined with Collection from Cloud Logs)(version 1.0)",Logging and Monitoring,LOG-09,"Both CAVEaT and CCM entries discuss protecting sensitive information in logs - CAVEaT is about adversaries inserting sensitive data, while CCM requires protecting logs from unauthorized access.",8
"Insertion of Sensitive Information into Log File (combined with Collection from Cloud Logs)(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"Inserting sensitive information into logs as described in CAVEaT is a data handling issue that should be addressed by CCM's policies for data protection throughout its lifecycle.",6
"Kubernetes API Abuse(version 1.0)",Infrastructure & Virtualization Security,IVS-04,"CAVEaT discusses exploiting Kubernetes APIs, which can be mitigated by hardening and security baselining for infrastructures as required by CCM.",9
"Kubernetes API Abuse(version 1.0)",Identity & Access Management,IAM-01,"Kubernetes API abuse in CAVEaT often involves compromised credentials, so CCM's IAM policies and procedures are relevant for prevention.",5
"Leveraging Cloud Shells(version 1.0)",Identity & Access Management,IAM-09,"CAVEaT discusses misusing cloud shells, which often have high privileges. CCM requires segregating privileged access roles to mitigate this risk.",8
"Leveraging Cloud Shells(version 1.0)",Logging and Monitoring,LOG-01,"Actions performed in cloud shells as described in CAVEaT should be logged and monitored based on CCM's policies and procedures.",5
"Leveraging SaaS Applications(version 1.0)",Interoperability & Portability,IPY-03,"CAVEaT mentions using SaaS for C2, which could be mitigated by CCM's control requiring secure protocols for interoperability and portability of data.",6
"Leveraging SaaS Applications(version 1.0)","Governance, Risk and Compliance",GRC-02,"SaaS usage as described in CAVEaT introduces risks that should be evaluated under CCM's risk management program.",7
"Loss of Availability(version 1.0)",Business Continuity Management and Operational Resilience,BCR-01,"Loss of availability in CAVEaT is directly related to CCM's policies and procedures for business continuity and operational resilience.",10
"Loss of Availability(version 1.0)",Change Control and Configuration Management,CCC-01,"Loss of availability as described in CAVEaT could result from unauthorized changes, so CCM's change management policies are relevant.",5
"Loss of Reputation/Value(version 1.0)","Governance, Risk and Compliance",GRC-01,"Loss of reputation/value in CAVEaT is a governance issue and should be included in CCM's information governance program policies and procedures.",9
Abuse Queue Services(version 1.0),Application & Interface Security,AIS-05,"CAVEaT discusses securing queue services, which aligns with CCM's control on application security testing to maintain compliance and enable secure delivery.",8
Abuse Queue Services(version 1.0),Infrastructure & Virtualization Security,IVS-09,"Abusing queue services in CAVEaT is a type of attack that CCM's control on defense-in-depth aims to detect and respond to.",5
Abuse Queue Services(version 1.0),Application & Interface Security,AIS-02,"CCM requires establishing application security baselines, which should include secure configurations for queue services to prevent abuse as mentioned in CAVEaT.",7
Abuse Queue Services(version 1.0),Logging and Monitoring,LOG-03,"Abusing queue services as described in CAVEaT should be detected as a security event and trigger alerts based on CCM's logging and monitoring control.",6
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Audit & Assurance,A&A-01,"CAVEaT discusses auditing permissions on cloud storage to prevent unauthorized access, which aligns with CCM's Audit and Assurance policies and procedures.",9
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Logging and Monitoring,LOG-03,"Abusing cloud storage in CAVEaT could be detected by monitoring for security events and generating alerts, as required by CCM.",6
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Identity & Access Management,IAM-01,"CCM's IAM policies and procedures aim to prevent abuse of cloud storage permissions as described in CAVEaT.",8
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Data Security & Privacy Lifecycle Management,DSP-01,"CAVEaT is about securing cloud storage throughout the data lifecycle, which directly aligns with CCM's DSP controls.",7
Accessing Data from Databases(version 1.0),Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT is about securing database access, which falls under CCM's policies for data security and privacy throughout its lifecycle.",9
Accessing Data from Databases(version 1.0),Logging and Monitoring,LOG-08,"Accessing databases in CAVEaT could be logged as events that should include relevant security information, as required in CCM.",4
Accessing Data from Databases(version 1.0),Identity & Access Management,IAM-01,"CAVEaT discusses database access, which should be controlled through the IAM policies and procedures defined in CCM.",7
Accessing Data from Databases(version 1.0),Audit and Assurance,A&A-02,"Improper database access described in CAVEaT would be identified through the independent audits required by CCM.",6
Account Manipulation(version 1.0),Identity & Access Management,IAM-01,"Account manipulation in CAVEaT aligns with CCM's identity and access management policies and procedures, which aim to prevent unauthorized account changes.",10
Account Manipulation(version 1.0),Logging and Monitoring,LOG-01,"Account manipulation activities described in CAVEaT should be covered by the logging and monitoring policies and procedures required in CCM.",5
Account Manipulation(version 1.0),Identity & Access Management,IAM-09,"Account manipulation in CAVEaT likely requires privileged access, which should be segregated and controlled according to CCM.",7
Account Manipulation(version 1.0),Change Control & Configuration Management,CCC-01,"Account manipulation, as a type of change, should be managed through the change management process defined in CCM to assess risks.",6
"Steal Application Access Token(version 1.1)",Identity & Access Management,IAM-01,"Stealing application access tokens in CAVEaT is an identity and access management issue that CCM's IAM policies and procedures aim to prevent.",9
"Steal Application Access Token(version 1.1)",Threat & Vulnerability Management,TVM-01,"Stealing access tokens is a vulnerability that should be identified and prioritized for remediation based on CCM's vulnerability management policies and procedures.",6
"Steal Application Access Token(version 1.1)",Identity & Access Management,IAM-14,"CCM requires strong, multi-factor authentication for application and data access, which would help prevent stolen access tokens.",8
"Steal Application Access Token(version 1.1)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-06,"Stealing access tokens would be a security incident that should be identified and triaged based on the processes defined in CCM.",5
"Cloud Admin Portal/API(version 1.0)",Identity & Access Management,IAM-02,"CAVEaT discusses securing admin portals/APIs, which can be achieved through strong password policies and procedures as required by CCM.",8
"Cloud Admin Portal/API(version 1.0)",Logging and Monitoring,LOG-03,"Activity on cloud admin portals/APIs as described in CAVEaT should trigger security events and alerts based on CCM's control.",6
"Cloud Admin Portal/API(version 1.0)",Identity & Access Management,IAM-09,"Admin portals/APIs have highly privileged access, so their permissions should be segregated and controlled according to CCM.",9
"Cloud Admin Portal/API(version 1.0)",Audit and Assurance,A&A-01,"Use of admin portals/APIs as discussed in CAVEaT should be audited regularly as part of CCM's audit and assurance procedures.",7
"Cloud Instance Metadata API(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT is about misuse of the metadata API, which CCM's IAM policies and procedures aim to prevent through secure access management practices.",7
"Cloud Instance Metadata API(version 1.0)","Governance, Risk and Compliance",GRC-07,"Metadata API risks outlined in CAVEaT should be considered as part of CCM's control to identify and document all relevant regulatory requirements.",4
"Cloud Instance Metadata API(version 1.0)",Logging and Monitoring,LOG-03,"Misuse of the metadata API as described in CAVEaT should be detected as a security event that triggers alerts per CCM's control.",6
"Cloud Instance Metadata API(version 1.0)",Threat & Vulnerability Management,TVM-07,"Vulnerabilities in the metadata API that could enable the misuse described in CAVEaT should be detected per CCM's vulnerability identification control.",5
"Cloud Log Scrubbing(version 1.0)",Logging and Monitoring,LOG-02,"CAVEaT discusses deleting or manipulating cloud logs, which goes against CCM's control requiring audit log protection.",10
"Cloud Log Scrubbing(version 1.0)",Identity & Access Management,IAM-09,"Scrubbing logs in CAVEaT requires privileged access, so CCM's controls on segregation of duties and management of privileged access aim to prevent this risk.",5
"Cloud Log Scrubbing(version 1.0)",Threat & Vulnerability Management,TVM-01,"The ability to scrub logs is a vulnerability that should be identified and remediated based on CCM's vulnerability management policies.",7
"Cloud Log Scrubbing(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"Scrubbing logs undermines security monitoring capabilities. CCM requires defense-in-depth techniques for timely attack detection and response.",6
"Collecting Data from Cloud Logs(version 1.0)",Logging and Monitoring,LOG-08,"CCM requires generating audit records with relevant security information, which could help detect the log data collection described in CAVEaT.",7
"Collecting Data from Cloud Logs(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT describes collecting potentially sensitive data from cloud logs, which relates to CCM's policies on handling data securely throughout its lifecycle.",4
"Collecting Data from Cloud Logs(version 1.0)",Identity & Access Management,IAM-09,"Collecting data from logs as described in CAVEaT likely requires privileged access, which should be segregated and controlled per CCM.",6
"Collecting Data from Cloud Logs(version 1.0)",Threat & Vulnerability Management,TVM-03,"The ability to collect data from logs is a vulnerability that should have a defined remediation schedule based on CCM.",5
"Data/VM Backups(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-03,"CAVEaT discusses data/VM backup security, which relates to CCM's control about creating a data inventory to track where sensitive data is stored.",6
"Data/VM Backups(version 1.0)",Business Continuity Management and Operational Resilience,BCR-08,"Backups are important for business continuity and operational resilience, so CCM's control requiring backups directly aligns with the topic in CAVEaT.",7
"Data/VM Backups(version 1.0)",Logging and Monitoring,LOG-03,"Unauthorized access to backups as described in CAVEaT should trigger security alerts per CCM's logging and monitoring control.",5
"Data from VM Local File System(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT is about protecting data on VMs, which can be addressed by the defense-in-depth techniques required in CCM for responding to attacks.",7
"Data from VM Local File System(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"Collecting data from VMs as described in CAVEaT is a data security concern that CCM's policies aim to address throughout the data lifecycle.",8
"Data from VM Local File System(version 1.0)",Logging and Monitoring,LOG-03,"Unauthorized access to VM file systems as mentioned in CAVEaT should be detected as a security event per CCM's control.",6
"Denial of Data(version 1.1)",Business Continuity Management and Operational Resilience,BCR-01,"Data denial/destruction in CAVEaT directly impacts business continuity, which CCM provides policies and procedures for.",7
"Denial of Data(version 1.1)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-04,"Denial of data (destroying data) in CAVEaT is a security incident that requires testing incident response plans, as noted in CCM.",9
"Denial of Data(version 1.1)",Change Control & Configuration Management,CCC-01,"Data destruction in CAVEaT represents an unauthorized change that should be controlled by CCM's change management policies and procedures.",6
"Deprecated Cloud API's(version 1.0)",Threat & Vulnerability Management,TVM-07,"Using deprecated and likely vulnerable APIs in CAVEaT can be identified through the vulnerability detection processes required by CCM.",8
"Deprecated Cloud API's(version 1.0)",Change Control and Configuration Management,CCC-04,"Deprecated APIs as mentioned in CAVEaT could enable unauthorized changes, so CCM's controls aim to prevent such changes.",4
"Deprecated Cloud API's(version 1.0)",Infrastructure & Virtualization Security,IVS-03,"Deprecated APIs may use insecure communication protocols. CCM requires encrypting and restricting communications to authorized connections only.",5
"Disable or Modify Security Tools(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Disabling security tools is an infrastructure security issue in CAVEaT, and CCM provides relevant policies and procedures to maintain infrastructure security.",9
"Disable or Modify Security Tools(version 1.0)",Change Control and Configuration Management,CCC-01,"Modifying security tools as described in CAVEaT represents a change that should go through CCM's change management policies to assess the associated risks.",6
"Disable or Modify Security Tools(version 1.0)",Threat & Vulnerability Management,TVM-03,"Disabling security tools introduces vulnerabilities that should have a defined remediation schedule based on CCM.",7
"Discovery using Cloud APIs(version 1.1)",Logging and Monitoring,LOG-01,"CAVEaT is about adversaries using cloud APIs for discovery, which could be detected by logging and monitoring procedures defined in CCM.",8
"Discovery using Cloud APIs(version 1.1)","Supply Chain Management, Transparency, and Accountability",STA-03,"Using cloud APIs for discovery as mentioned in CAVEaT could be performed by CSP personnel, so CCM's control about CSPs providing guidance detailing the shared security model is relevant.",3
"Discovery using Cloud APIs(version 1.1)",Identity & Access Management,IAM-08,"Discovering resources via API as described in CAVEaT requires access that should be reviewed regularly per CCM's user access review control.",5
"Exploit Elastic Container Service (ECS) Task Definitions(version 1.0)",Infrastructure & Virtualization Security,IVS-06,"CAVEaT is about exploiting task definitions in containers, which relates to CCM's control on appropriate segmentation and segregation of user access in applications and infrastructures.",9
"Exploit Elastic Container Service (ECS) Task Definitions(version 1.0)",Change Control and Configuration Management,CCC-01,"Malicious task definitions as described in CAVEaT represent a type of change that should be evaluated for risk under CCM's change management policies.",5
"Exploit Elastic Container Service (ECS) Task Definitions(version 1.0)",Threat & Vulnerability Management,TVM-06,"Vulnerable ECS task definitions in CAVEaT should be identified through penetration testing, as required by CCM.",7
"Exploiting FaaS - AWS Lambda/Azure Functions/Logic Apps(version 1.2)",Application & Interface Security,AIS-03,"Both items deal with securing cloud application services - CAVEaT discusses exploiting FaaS like Lambda, while CCM mentions defining application security metrics.",8
"Exploiting FaaS - AWS Lambda/Azure Functions/Logic Apps(version 1.2)",Logging and Monitoring,LOG-03,"Exploiting FaaS as described in CAVEaT should be detected as a security event that triggers alerts based on CCM's control.",6
"Exploiting FaaS - AWS Lambda/Azure Functions/Logic Apps(version 1.2)",Identity & Access Management,IAM-05,"FaaS exploitation often involves excessive permissions. CCM requires applying least privilege principles to FaaS access.",7
"Exploiting New Vulnerabilities in Managed Cloud Services(version 1.0)",Threat & Vulnerability Management,TVM-01,"CAVEaT and CCM both focus on identifying and remediating vulnerabilities in cloud services, with CCM providing the overarching policy and procedures to do so.",10
"Exploiting New Vulnerabilities in Managed Cloud Services(version 1.0)",Logging and Monitoring,LOG-03,"Exploits of new vulnerabilities as mentioned in CAVEaT should be detected as security events according to CCM's logging and monitoring control.",5
"Exploiting New Vulnerabilities in Managed Cloud Services(version 1.0)",Threat & Vulnerability Management,TVM-07,"CCM requires vulnerability scanning to detect issues like those described in CAVEaT.",8
"Exploit S3 (Simple Storage Service) Permissions(version 1.0)",Audit & Assurance,A&A-02,"CAVEaT discusses exploiting weak S3 permissions, which would be identified through the independent assessments required by CCM.",10
"Exploit S3 (Simple Storage Service) Permissions(version 1.0)",Identity & Access Management,IAM-01,"Exploiting S3 permissions in CAVEaT is an identity and access management issue that CCM's IAM policies aim to prevent.",7
"Exploit S3 (Simple Storage Service) Permissions(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"S3 permission exploitation could enable further attacks. CCM requires defense-in-depth controls to prevent and detect such attacks.",6
"Exploiting Public-Facing Application(version 1.0)","Governance, Risk and Compliance",GRC-02,"Public-facing applications are part of an organization's attack surface. CCM's risk management program should assess risks of public apps, which may be exploited as noted in CAVEaT.",9
"Exploiting Public-Facing Application(version 1.0)",Threat & Vulnerability Management,TVM-06,"Exploiting public-facing apps as described in CAVEaT can be identified through penetration testing, as required by CCM.",7
"Exploiting Public-Facing Application(version 1.0)",Application & Interface Security,AIS-02,"CCM requires application security baselines, which should define secure configurations for public-facing apps to prevent exploitation.",8
"Exploiting Containers(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"CAVEaT discusses exploiting containers, which is directly related to CCM's policies and procedures for infrastructure and virtualization security.",10
"Exploiting Containers(version 1.0)",Threat & Vulnerability Management,TVM-08,"Exploiting containers as mentioned in CAVEaT represents a vulnerability that CCM requires prioritizing for remediation based on risk.",6
"Exploiting Containers(version 1.0)",Logging and Monitoring,LOG-03,"Attempts to exploit containers as described in CAVEaT should be detected as security events per CCM's logging and monitoring control.",7
"GKE (Google Kubernetes Engine) Kubernetes Attack(version 1.1)",Infrastructure & Virtualization Security,IVS-06,"CAVEaT outlines an attack on GKE, Google's managed Kubernetes service. CCM specifies controls for properly segmenting and restricting access within infrastructures such as Kubernetes clusters.",9
"GKE (Google Kubernetes Engine) Kubernetes Attack(version 1.1)",Logging and Monitoring,LOG-03,"The GKE attack described in CAVEaT should trigger security alerts based on CCM's logging and monitoring control.",5
"GKE (Google Kubernetes Engine) Kubernetes Attack(version 1.1)",Threat & Vulnerability Management,TVM-01,"The GKE attack leverages vulnerabilities that should be identified and remediated per CCM's vulnerability management policies.",7
"Harvesting Credentials via Cloud APIs(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT discusses stealing credentials via cloud APIs, which CCM aims to prevent through its IAM policies and procedures.",9
"Harvesting Credentials via Cloud APIs(version 1.0)",Audit & Assurance,A&A-02,"Harvesting credentials as described in CAVEaT could be identified through CCM's required independent assessments of IAM effectiveness.",4
"Harvesting Credentials via Cloud APIs(version 1.0)",Logging and Monitoring,LOG-03,"Credential harvesting attempts should be logged as a security event per CCM's logging and monitoring controls.",6
"IAM Abuse(version 1.0)",Identity & Access Management,IAM-01,"IAM abuse in CAVEaT directly relates to CCM's control for establishing IAM policies and procedures.",10
"IAM Abuse(version 1.0)",Logging and Monitoring,LOG-03,"IAM abuse activities mentioned in CAVEaT should trigger security alerts according to CCM's logging and monitoring control.",6
"IAM Abuse(version 1.0)",Identity & Access Management,IAM-09,"IAM abuse often involves privileged access, which CCM requires to be segregated and controlled.",8
"Implant Container Image(version 1.0)",Change Control and Configuration Management,CCC-01,"CAVEaT discusses implanting container images, which could be prevented through CCM's change management policies for assessing risks of changes to systems and assets.",7
"Implant Container Image(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Implanting malicious container images as described in CAVEaT is an infrastructure security issue that CCM's policies and procedures aim to prevent.",8
"Implant Container Image(version 1.0)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-02,"Implanting container images is a security incident that requires timely management per CCM's incident management policies and procedures.",6
"Insertion of Sensitive Information into Log File (combined with Collection from Cloud Logs)(version 1.0)",Logging and Monitoring,LOG-09,"Both CAVEaT and CCM entries discuss protecting sensitive information in logs - CAVEaT is about adversaries inserting sensitive data, while CCM requires protecting logs from unauthorized access.",8
"Insertion of Sensitive Information into Log File (combined with Collection from Cloud Logs)(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"Inserting sensitive information into logs as described in CAVEaT is a data handling issue that should be addressed by CCM's policies for data protection throughout its lifecycle.",6
"Insertion of Sensitive Information into Log File (combined with Collection from Cloud Logs)(version 1.0)",Threat & Vulnerability Management,TVM-03,"The ability to insert sensitive data into logs is a vulnerability that requires a defined remediation schedule per CCM.",5
"Kubernetes API Abuse(version 1.0)",Infrastructure & Virtualization Security,IVS-04,"CAVEaT discusses exploiting Kubernetes APIs, which can be mitigated by hardening and security baselining for infrastructures as required by CCM.",9
